,no_days,values
0,1,[40.64]
1,1,[40.92]
2,1,[41.25]
3,0,[]
4,0,[]
5,3,"[40.75, 41.01, 41.55]"
6,0,[]
7,6,"[41.01, 41.62, 41.79, 42.02, 42.08, 42.36]"
8,0,[]
9,0,[]
10,0,[]
11,0,[]
12,0,[]
13,0,[]
14,0,[]
15,0,[]
16,0,[]
17,0,[]
18,1,[37.64]
19,2,"[37.35, 37.91]"
20,1,[37.89]
21,0,[]
22,0,[]
23,1,[37.37]
24,1,[37.27]
25,1,[37.26]
26,0,[]
27,1,[35.63]
28,2,"[35.84, 36.72]"
29,1,[37.73]
30,1,[37.88]
31,0,[]
32,2,"[37.62, 37.75]"
33,4,"[37.63, 38.49, 38.92, 39.14]"
34,0,[]
35,0,[]
36,0,[]
37,2,"[38.43, 38.98]"
38,0,[]
39,3,"[39.06, 39.33, 40.07]"
40,1,[39.9]
41,1,[39.54]
42,1,[40.36]
43,0,[]
44,1,[40.32]
45,0,[]
46,1,[39.89]
47,1,[39.86]
48,2,"[39.52, 40.86]"
49,0,[]
50,4,"[41.18, 41.42, 41.5, 41.98]"
51,1,[41.82]
52,0,[]
53,0,[]
54,2,"[41.2, 41.32]"
55,0,[]
56,2,"[40.86, 41.51]"
57,2,"[42.19, 42.59]"
58,2,"[42.61, 44.96]"
59,0,[]
60,2,"[44.86, 44.89]"
61,2,"[45.12, 45.58]"
62,1,[45.79]
63,1,[45.91]
64,0,[]
65,1,[45.81]
66,1,[45.98]
67,0,[]
68,0,[]
69,1,[45.11]
70,3,"[45.42, 45.57, 46.21]"
71,1,[46.5]
72,0,[]
73,0,[]
74,3,"[43.55, 43.68, 44.36]"
75,0,[]
76,7,"[44.47, 44.86, 45.61, 45.77, 46.64, 46.86, 46.96]"
77,3,"[46.67, 46.96, 46.98]"
78,0,[]
79,0,[]
80,4,"[47.0, 47.19, 47.49, 48.11]"
81,0,[]
82,1,[47.16]
83,1,[47.57]
84,6,"[47.51, 47.62, 47.97, 48.17, 48.27, 48.63]"
85,0,[]
86,3,"[47.63, 47.73, 47.74]"
87,3,"[47.41, 47.45, 47.66]"
88,0,[]
89,1,[47.23]
90,1,[47.07]
91,0,[]
92,1,[45.36]
93,0,[]
94,1,[45.39]
95,8,"[45.33, 45.98, 46.38, 46.43, 46.46, 46.53, 46.9, 47.05]"
96,2,"[46.82, 47.07]"
97,0,[]
98,2,"[47.33, 47.58]"
99,0,[]
100,0,[]
101,1,[45.38]
102,1,[45.7]
103,1,[46.0]
104,1,[45.88]
105,0,[]
106,1,[43.97]
107,0,[]
108,1,[43.73]
109,0,[]
110,3,"[43.69, 44.99, 45.48]"
111,2,"[46.6, 46.77]"
112,0,[]
113,1,[46.3]
114,0,[]
115,0,[]
116,0,[]
117,0,[]
118,1,[44.74]
119,0,[]
120,1,[44.79]
121,0,[]
122,2,"[44.21, 44.58]"
123,5,"[44.99, 45.91, 46.18, 46.31, 46.43]"
124,1,[46.61]
125,0,[]
126,1,[46.21]
127,3,"[46.08, 46.37, 46.51]"
128,4,"[45.76, 45.93, 46.93, 47.05]"
129,2,"[48.01, 48.34]"
130,1,[48.9]
131,0,[]
132,1,[48.67]
133,0,[]
134,0,[]
135,1,[47.77]
136,1,[48.42]
137,1,[48.48]
138,1,[48.93]
139,3,"[49.09, 49.13, 49.42]"
