"product","record_date","open_value"
2,"2020-01-02",296.24
2,"2020-01-03",297.15
2,"2020-01-06",293.79
2,"2020-01-07",299.84
2,"2020-01-08",297.16
2,"2020-01-09",307.24
2,"2020-01-10",310.6
2,"2020-01-13",311.64
2,"2020-01-14",316.7
2,"2020-01-15",311.85
2,"2020-01-16",313.59
2,"2020-01-17",316.27
2,"2020-01-21",317.19
2,"2020-01-22",318.58
2,"2020-01-23",317.92
2,"2020-01-24",320.25
2,"2020-01-27",310.06
2,"2020-01-28",312.6
2,"2020-01-29",324.45
2,"2020-01-30",320.54
2,"2020-01-31",320.93
2,"2020-02-03",304.3
2,"2020-02-04",315.31
2,"2020-02-05",323.52
2,"2020-02-06",322.57
2,"2020-02-07",322.37
2,"2020-02-10",314.18
2,"2020-02-11",323.6
2,"2020-02-12",321.47
2,"2020-02-13",324.19
2,"2020-02-14",324.74
2,"2020-02-18",315.36
2,"2020-02-19",320.0
2,"2020-02-20",322.63
2,"2020-02-21",318.62
2,"2020-02-24",297.26
2,"2020-02-25",300.95
2,"2020-02-26",286.53
2,"2020-02-27",281.1
2,"2020-02-28",257.26
2,"2020-03-02",282.28
2,"2020-03-03",303.67
2,"2020-03-04",296.44
2,"2020-03-05",295.52
2,"2020-03-06",282.0
2,"2020-03-09",263.75
2,"2020-03-10",277.14
2,"2020-03-11",277.39
2,"2020-03-12",255.94
2,"2020-03-13",264.89
2,"2020-03-16",241.95
2,"2020-03-17",247.51
2,"2020-03-18",239.77
2,"2020-03-19",247.39
2,"2020-03-20",247.18
2,"2020-03-23",228.08
2,"2020-03-24",236.36
2,"2020-03-25",250.75
2,"2020-03-26",246.52
2,"2020-03-27",252.75
2,"2020-03-30",250.74
2,"2020-03-31",255.6
2,"2020-04-01",246.5
2,"2020-04-02",240.34
2,"2020-04-03",242.8
2,"2020-04-06",250.9
2,"2020-04-07",270.8
2,"2020-04-08",262.74
2,"2020-04-09",268.7
2,"2020-04-13",268.31
2,"2020-04-14",280.0
2,"2020-04-15",282.4
2,"2020-04-16",287.38
2,"2020-04-17",284.69
2,"2020-04-20",277.95
2,"2020-04-21",276.28
2,"2020-04-22",273.61
2,"2020-04-23",275.87
2,"2020-04-24",277.2
2,"2020-04-27",281.8
2,"2020-04-28",285.08
2,"2020-04-29",284.73
2,"2020-04-30",289.96
2,"2020-05-01",286.25
2,"2020-05-04",289.17
2,"2020-05-05",295.06
2,"2020-05-06",300.46
2,"2020-05-07",303.22
2,"2020-05-08",305.64
2,"2020-05-11",308.1
2,"2020-05-12",317.83
2,"2020-05-13",312.15
2,"2020-05-14",304.51
2,"2020-05-15",300.35
2,"2020-05-18",313.17
2,"2020-05-19",315.03
2,"2020-05-20",316.68
2,"2020-05-21",318.66
2,"2020-05-22",315.77
2,"2020-05-26",323.5
2,"2020-05-27",316.14
2,"2020-05-28",316.77
2,"2020-05-29",319.25
2,"2020-06-01",317.75
2,"2020-06-02",320.75
2,"2020-06-03",324.66
2,"2020-06-04",324.39
2,"2020-06-05",323.35
2,"2020-06-08",330.25
2,"2020-06-09",332.14
2,"2020-06-10",347.9
2,"2020-06-11",349.31
2,"2020-06-12",344.72
2,"2020-06-15",333.25
2,"2020-06-16",351.46
2,"2020-06-17",355.15
2,"2020-06-18",351.41
2,"2020-06-19",354.64
2,"2020-06-22",351.34
2,"2020-06-23",364.0
2,"2020-06-24",365.0
2,"2020-06-25",360.7
2,"2020-06-26",364.41
2,"2020-06-29",353.25
2,"2020-06-30",360.08
2,"2020-07-01",365.12
2,"2020-07-02",367.85
2,"2020-07-06",370.0
2,"2020-07-07",375.41
2,"2020-07-08",376.72
2,"2020-07-09",385.05
2,"2020-07-10",381.34
2,"2020-07-13",389.06
2,"2020-07-14",379.36
2,"2020-07-15",395.96
2,"2020-07-16",386.25
2,"2020-07-17",387.95
2,"2020-07-20",385.67
2,"2020-07-21",396.69
2,"2020-07-22",386.77
2,"2020-07-23",387.993
2,"2020-07-24",363.95
2,"2020-07-27",374.84
2,"2020-07-28",377.47
2,"2020-07-29",375.0
2,"2020-07-30",376.75
2,"2020-07-31",411.535
2,"2020-08-03",432.8
2,"2020-08-04",436.53
2,"2020-08-05",437.51
2,"2020-08-06",441.62
2,"2020-08-07",452.82
2,"2020-08-10",450.4
2,"2020-08-11",447.875
2,"2020-08-12",441.99
2,"2020-08-13",457.72
2,"2020-08-14",459.315
2,"2020-08-17",464.25
2,"2020-08-18",457.41
2,"2020-08-19",463.933
2,"2020-08-20",463.0
2,"2020-08-21",477.05
2,"2020-08-24",514.79
