,no_days,values
0,1,[299.84]
1,4,"[307.24, 310.6, 311.64, 316.7]"
2,4,"[313.59, 316.27, 317.19, 318.58]"
3,1,[320.25]
4,2,"[312.6, 324.45]"
5,1,[320.93]
6,2,"[315.31, 323.52]"
7,1,[323.6]
8,2,"[324.19, 324.74]"
9,2,"[320.0, 322.63]"
10,1,[300.95]
11,2,"[282.28, 303.67]"
12,2,"[277.14, 277.39]"
13,1,[264.89]
14,1,[247.51]
15,1,[247.39]
16,2,"[236.36, 250.75]"
17,1,[252.75]
18,1,[255.6]
19,3,"[242.8, 250.9, 270.8]"
20,1,[268.7]
21,3,"[280.0, 282.4, 287.38]"
22,4,"[275.87, 277.2, 281.8, 285.08]"
23,1,[289.96]
24,7,"[289.17, 295.06, 300.46, 303.22, 305.64, 308.1, 317.83]"
25,4,"[313.17, 315.03, 316.68, 318.66]"
26,1,[323.5]
27,2,"[316.77, 319.25]"
28,2,"[320.75, 324.66]"
29,4,"[330.25, 332.14, 347.9, 349.31]"
30,2,"[351.46, 355.15]"
31,1,[354.64]
32,2,"[364.0, 365.0]"
33,1,[364.41]
34,7,"[360.08, 365.12, 367.85, 370.0, 375.41, 376.72, 385.05]"
35,1,[389.06]
36,1,[395.96]
37,1,[387.95]
38,1,[396.69]
39,1,[387.99300000000005]
40,2,"[374.84, 377.47]"
41,7,"[376.75, 411.535, 432.8, 436.53, 437.51, 441.62, 452.82]"
42,3,"[457.72, 459.315, 464.25]"
43,1,[463.93300000000005]
44,2,"[477.05, 514.79]"
45,2,"[504.716, 508.57]"
46,2,"[132.76, 137.59]"
47,2,"[117.26, 120.36]"
48,2,"[114.72, 118.33]"
49,1,[110.4]
50,1,[112.68]
51,2,"[108.43, 115.01]"
52,1,[117.64]
53,2,"[113.91, 115.7]"
54,1,[116.25]
55,2,"[120.06, 125.27]"
56,1,[121.28]
57,2,"[116.67, 117.45]"
58,1,[115.49]
59,5,"[109.66, 114.14, 117.95, 118.32, 120.5]"
60,2,"[117.19, 119.62]"
61,1,[119.55]
62,1,[118.64]
63,2,"[115.55, 116.57]"
